a,t
"{""albumID"":67,""title"":Vault: Def Leppard's Greatest Hits}","{""milliseconds"":322455,""composer"":UNKNOWN,""bytes"":10522352,""trackID"":837,""name"":Armageddon It,""unitprice"":0.99}"
"{""albumID"":67,""title"":Vault: Def Leppard's Greatest Hits}","{""milliseconds"":319320,""bytes"":10400020,""composer"":UNKNOWN,""trackID"":838,""name"":Have You Ever Needed Someone So Bad,""unitprice"":0.99}"
"{""albumID"":67,""title"":Vault: Def Leppard's Greatest Hits}","{""milliseconds"":248424,""composer"":UNKNOWN,""bytes"":8150318,""trackID"":839,""name"":Rock Of Ages,""unitprice"":0.99}"
"{""albumID"":67,""title"":Vault: Def Leppard's Greatest Hits}","{""milliseconds"":355056,""composer"":UNKNOWN,""bytes"":11622738,""trackID"":840,""name"":Hysteria,""unitprice"":0.99}"
"{""albumID"":67,""title"":Vault: Def Leppard's Greatest Hits}","{""milliseconds"":272457,""bytes"":8853324,""composer"":UNKNOWN,""trackID"":841,""name"":Bringin' On The Heartbreak,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":255608,""composer"":UNKNOWN,""bytes"":8330047,""trackID"":852,""name"":Meu Bem-Querer,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":304692,""composer"":UNKNOWN,""bytes"":10037362,""trackID"":853,""name"":Cigano,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":338755,""composer"":UNKNOWN,""bytes"":11283582,""trackID"":854,""name"":Boa Noite,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":211565,""composer"":UNKNOWN,""bytes"":7018586,""trackID"":855,""name"":Fato Consumado,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":280999,""composer"":UNKNOWN,""bytes"":9096726,""trackID"":858,""name"":Esquinas,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":286432,""composer"":UNKNOWN,""bytes"":9413777,""trackID"":859,""name"":Se...,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":311614,""composer"":UNKNOWN,""bytes"":10312775,""trackID"":860,""name"":Eu Te Devoro,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":284081,""composer"":UNKNOWN,""bytes"":9396942,""trackID"":862,""name"":Acelerou,""unitprice"":0.99}"
"{""albumID"":69,""title"":Djavan Ao Vivo - Vol. 02}","{""milliseconds"":327784,""composer"":UNKNOWN,""bytes"":10687311,""trackID"":863,""name"":Um Amor Puro,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":223921,""composer"":UNKNOWN,""bytes"":7353567,""trackID"":935,""name"":Land Of Sunshine,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":267937,""composer"":UNKNOWN,""bytes"":8747367,""trackID"":936,""name"":Caffeine,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":263235,""composer"":UNKNOWN,""bytes"":8628841,""trackID"":937,""name"":Midlife Crisis,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":223242,""bytes"":7288162,""composer"":UNKNOWN,""trackID"":938,""name"":RV,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":310831,""composer"":UNKNOWN,""bytes"":10180103,""trackID"":939,""name"":Smaller And Smaller,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":273658,""composer"":UNKNOWN,""bytes"":9010917,""trackID"":940,""name"":Everything's Ruined,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":241371,""composer"":UNKNOWN,""bytes"":7900683,""trackID"":941,""name"":Malpractice,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":270680,""composer"":UNKNOWN,""bytes"":8853647,""trackID"":942,""name"":Kindergarten,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":222432,""composer"":UNKNOWN,""bytes"":7298027,""trackID"":943,""name"":Be Aggressive,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":297168,""composer"":UNKNOWN,""bytes"":9733572,""trackID"":944,""name"":A Small Victory,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":279144,""composer"":UNKNOWN,""bytes"":9162435,""trackID"":945,""name"":Crack Hitler,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":398341,""composer"":UNKNOWN,""bytes"":12926140,""trackID"":946,""name"":Jizzlobber,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":251924,""composer"":UNKNOWN,""bytes"":8242626,""trackID"":947,""name"":Midnight Cowboy,""unitprice"":0.99}"
"{""albumID"":75,""title"":Angel Dust}","{""milliseconds"":185835,""bytes"":6073008,""composer"":UNKNOWN,""trackID"":948,""name"":Easy,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":33619,""composer"":UNKNOWN,""bytes"":1095012,""trackID"":975,""name"":Deixa Entrar,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":237165,""composer"":UNKNOWN,""bytes"":7921313,""trackID"":976,""name"":Falamansa Song,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":269557,""composer"":UNKNOWN,""bytes"":8897778,""trackID"":977,""name"":Xote Dos Milagres,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":143673,""composer"":UNKNOWN,""bytes"":4781949,""trackID"":981,""name"":Zeca Violeiro,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":355030,""composer"":UNKNOWN,""bytes"":11844320,""trackID"":982,""name"":Avisa,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":116767,""composer"":UNKNOWN,""bytes"":3923789,""trackID"":983,""name"":Principiando/Decolagem,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":231915,""bytes"":7711669,""composer"":UNKNOWN,""trackID"":984,""name"":Asas,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":213760,""composer"":UNKNOWN,""bytes"":7056323,""trackID"":985,""name"":Medo De Escuro,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":181838,""composer"":UNKNOWN,""bytes"":6039502,""trackID"":987,""name"":Minha Gata,""unitprice"":0.99}"
"{""albumID"":78,""title"":Deixa Entrar}","{""milliseconds"":174524,""composer"":UNKNOWN,""bytes"":5853561,""trackID"":988,""name"":Desaforo,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":179252,""bytes"":5840027,""composer"":UNKNOWN,""trackID"":1057,""name"":Entrando Na Sua (Intro),""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":229537,""composer"":UNKNOWN,""bytes"":7680421,""trackID"":1058,""name"":Nervosa,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":237191,""bytes"":7866165,""composer"":UNKNOWN,""trackID"":1059,""name"":Funk De Bamba (Com Fernanda Abreu),""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":244453,""composer"":UNKNOWN,""bytes"":8084475,""trackID"":1063,""name"":Funk Hum,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":221727,""bytes"":7347172,""composer"":UNKNOWN,""trackID"":1064,""name"":Forty Days (Com DJ Hum),""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":324597,""composer"":UNKNOWN,""bytes"":10833935,""trackID"":1066,""name"":Dujji,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":248528,""composer"":UNKNOWN,""bytes"":8216625,""trackID"":1067,""name"":Meu Guarda-Chuva,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":526132,""composer"":UNKNOWN,""bytes"":17533664,""trackID"":1069,""name"":Whistle Stop,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":191634,""composer"":UNKNOWN,""bytes"":6390885,""trackID"":1070,""name"":16 Toneladas,""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":74919,""bytes"":2439206,""composer"":UNKNOWN,""trackID"":1071,""name"":Divirta-Se (Saindo Da Sua),""unitprice"":0.99}"
"{""albumID"":84,""title"":Roda De Funk}","{""milliseconds"":292493,""composer"":UNKNOWN,""bytes"":9584317,""trackID"":1072,""name"":Forty Days Instrumental,""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":238315,""composer"":UNKNOWN,""bytes"":8026622,""trackID"":1088,""name"":Palco (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":295262,""composer"":UNKNOWN,""bytes"":9819759,""trackID"":1089,""name"":Is This Love (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":282409,""composer"":UNKNOWN,""bytes"":9594738,""trackID"":1090,""name"":Stir It Up (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":236695,""composer"":UNKNOWN,""bytes"":7985305,""trackID"":1091,""name"":Refavela (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":248842,""bytes"":8358128,""composer"":UNKNOWN,""trackID"":1092,""name"":Vendedor De Caranguejo (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":357485,""composer"":UNKNOWN,""bytes"":11774865,""trackID"":1093,""name"":Quanta (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":285309,""composer"":UNKNOWN,""bytes"":9436411,""trackID"":1094,""name"":Estrela (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":263471,""bytes"":8804401,""composer"":UNKNOWN,""trackID"":1095,""name"":Pela Internet (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":289671,""composer"":UNKNOWN,""bytes"":9673672,""trackID"":1098,""name"":Copacabana (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":316969,""composer"":UNKNOWN,""bytes"":10508000,""trackID"":1099,""name"":A Novidade (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":222458,""composer"":UNKNOWN,""bytes"":7481950,""trackID"":1100,""name"":Ghandi (Live),""unitprice"":0.99}"
"{""albumID"":86,""title"":Quanta Gente Veio Ver (Live)}","{""milliseconds"":234971,""bytes"":7838453,""composer"":UNKNOWN,""trackID"":1101,""name"":De Ouro E Marfim (Live),""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":273552,""composer"":UNKNOWN,""bytes"":4538451,""trackID"":1146,""name"":Welcome to the Jungle,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":202824,""composer"":UNKNOWN,""bytes"":3394019,""trackID"":1147,""name"":It's So Easy,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":268537,""composer"":UNKNOWN,""bytes"":4457283,""trackID"":1148,""name"":Nightrain,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":263893,""composer"":UNKNOWN,""bytes"":4382147,""trackID"":1149,""name"":Out Ta Get Me,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":228924,""composer"":UNKNOWN,""bytes"":3816323,""trackID"":1150,""name"":Mr. Brownstone,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":406347,""composer"":UNKNOWN,""bytes"":6687123,""trackID"":1151,""name"":Paradise City,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":219961,""composer"":UNKNOWN,""bytes"":3671299,""trackID"":1152,""name"":My Michelle,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":231640,""composer"":UNKNOWN,""bytes"":3860275,""trackID"":1153,""name"":Think About You,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":356424,""composer"":UNKNOWN,""bytes"":5879347,""trackID"":1154,""name"":Sweet Child O' Mine,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":197135,""composer"":UNKNOWN,""bytes"":3301971,""trackID"":1155,""name"":You're Crazy,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":206400,""composer"":UNKNOWN,""bytes"":3451891,""trackID"":1156,""name"":Anything Goes,""unitprice"":0.99}"
"{""albumID"":90,""title"":Appetite for Destruction}","{""milliseconds"":375349,""composer"":UNKNOWN,""bytes"":6185539,""trackID"":1157,""name"":Rocket Queen,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":182321,""composer"":UNKNOWN,""bytes"":3175950,""trackID"":1158,""name"":Right Next Door to Hell,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":298374,""composer"":UNKNOWN,""bytes"":5053742,""trackID"":1159,""name"":Dust N' Bones,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":184016,""composer"":UNKNOWN,""bytes"":3203390,""trackID"":1160,""name"":Live and Let Die,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":284744,""bytes"":4833259,""composer"":UNKNOWN,""trackID"":1161,""name"":Don't Cry (Original),""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":143637,""composer"":UNKNOWN,""bytes"":2550030,""trackID"":1162,""name"":Perfect Crime,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":156268,""composer"":UNKNOWN,""bytes"":2754414,""trackID"":1163,""name"":You Ain't the First,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":328282,""composer"":UNKNOWN,""bytes"":5537678,""trackID"":1164,""name"":Bad Obsession,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":303436,""composer"":UNKNOWN,""bytes"":5135662,""trackID"":1165,""name"":Back off Bitch,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":203637,""composer"":UNKNOWN,""bytes"":3520862,""trackID"":1166,""name"":Double Talkin' Jive,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":537540,""composer"":UNKNOWN,""bytes"":8923566,""trackID"":1167,""name"":November Rain,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":322175,""composer"":UNKNOWN,""bytes"":5438862,""trackID"":1168,""name"":The Garden,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":161539,""composer"":UNKNOWN,""bytes"":2839694,""trackID"":1169,""name"":Garden of Eden,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":318901,""composer"":UNKNOWN,""bytes"":5385886,""trackID"":1170,""name"":Don't Damn Me,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":268351,""composer"":UNKNOWN,""bytes"":4567966,""trackID"":1171,""name"":Bad Apples,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":257600,""composer"":UNKNOWN,""bytes"":4394014,""trackID"":1172,""name"":Dead Horse,""unitprice"":0.99}"
"{""albumID"":91,""title"":Use Your Illusion I}","{""milliseconds"":616511,""bytes"":10201342,""composer"":UNKNOWN,""trackID"":1173,""name"":Coma,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":258692,""composer"":UNKNOWN,""bytes"":4383764,""trackID"":1201,""name"":Different World,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":412152,""composer"":UNKNOWN,""bytes"":6883500,""trackID"":1202,""name"":These Colours Don't Run,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":526255,""bytes"":8721490,""composer"":UNKNOWN,""trackID"":1203,""name"":Brighter Than a Thousand Suns,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":307593,""composer"":UNKNOWN,""bytes"":5172144,""trackID"":1204,""name"":The Pilgrim,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":467810,""composer"":UNKNOWN,""bytes"":7785748,""trackID"":1205,""name"":The Longest Day,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":336896,""composer"":UNKNOWN,""bytes"":5647303,""trackID"":1206,""name"":Out of the Shadows,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":442106,""bytes"":7367736,""composer"":UNKNOWN,""trackID"":1207,""name"":The Reincarnation of Benjamin Breeg,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":564893,""bytes"":9367328,""composer"":UNKNOWN,""trackID"":1208,""name"":For the Greater Good of God,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":444614,""composer"":UNKNOWN,""bytes"":7393698,""trackID"":1209,""name"":Lord of Light,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":562966,""composer"":UNKNOWN,""bytes"":9314287,""trackID"":1210,""name"":The Legacy,""unitprice"":0.99}"
"{""albumID"":94,""title"":A Matter of Life and Death}","{""milliseconds"":431262,""bytes"":7205816,""composer"":UNKNOWN,""trackID"":1211,""name"":Hallowed Be Thy Name (Live) [Non Album Bonus Track],""unitprice"":0.99}"
"{""albumID"":102,""title"":Live After Death}","{""milliseconds"":48013,""composer"":UNKNOWN,""bytes"":1154488,""trackID"":1287,""name"":Intro- Churchill S Speech,""unitprice"":0.99}"
"{""albumID"":102,""title"":Live After Death}","{""milliseconds"":276375,""composer"":UNKNOWN,""bytes"":6635187,""trackID"":1288,""name"":Aces High,""unitprice"":0.99}"
"{""albumID"":102,""title"":Live After Death}","{""milliseconds"":789472,""bytes"":18949518,""composer"":UNKNOWN,""trackID"":1293,""name"":Rime Of The Ancient Mariner,""unitprice"":0.99}"
"{""albumID"":102,""title"":Live After Death}","{""milliseconds"":454974,""composer"":UNKNOWN,""bytes"":10921567,""trackID"":1294,""name"":Powerslave,""unitprice"":0.99}"
"{""albumID"":102,""title"":Live After Death}","{""milliseconds"":379872,""composer"":UNKNOWN,""bytes"":9119118,""trackID"":1301,""name"":Acacia Avenue,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":233142,""composer"":UNKNOWN,""bytes"":5599853,""trackID"":1305,""name"":Be Quick Or Be Dead,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":294008,""composer"":UNKNOWN,""bytes"":7060625,""trackID"":1306,""name"":The Number Of The Beast,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":174106,""composer"":UNKNOWN,""bytes"":4182963,""trackID"":1307,""name"":Wrathchild,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":284447,""composer"":UNKNOWN,""bytes"":6831163,""trackID"":1308,""name"":From Here To Eternity,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":213106,""composer"":UNKNOWN,""bytes"":5118995,""trackID"":1309,""name"":Can I Play With Madness,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":336953,""composer"":UNKNOWN,""bytes"":8091301,""trackID"":1310,""name"":Wasting Love,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":247640,""composer"":UNKNOWN,""bytes"":5947795,""trackID"":1311,""name"":Tailgunner,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":478145,""composer"":UNKNOWN,""bytes"":11479913,""trackID"":1312,""name"":The Evil That Men Do,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":412525,""composer"":UNKNOWN,""bytes"":9905048,""trackID"":1313,""name"":Afraid To Shoot Strangers,""unitprice"":0.99}"
"{""albumID"":103,""title"":Live At Donington 1992 (Disc 1)}","{""milliseconds"":431542,""composer"":UNKNOWN,""bytes"":10361452,""trackID"":1314,""name"":Fear Of The Dark,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":376711,""bytes"":9045532,""composer"":UNKNOWN,""trackID"":1315,""name"":Bring Your Daughter... To The Slaughter...,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":262426,""composer"":UNKNOWN,""bytes"":6302648,""trackID"":1316,""name"":The Clairvoyant,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":440555,""composer"":UNKNOWN,""bytes"":10577743,""trackID"":1317,""name"":Heaven Can Wait,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":235859,""composer"":UNKNOWN,""bytes"":5665052,""trackID"":1318,""name"":Run To The Hills,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":494602,""composer"":UNKNOWN,""bytes"":11874875,""trackID"":1320,""name"":Iron Maiden,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":447791,""composer"":UNKNOWN,""bytes"":10751410,""trackID"":1321,""name"":Hallowed Be Thy Name,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":232672,""composer"":UNKNOWN,""bytes"":5588560,""trackID"":1322,""name"":The Trooper,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":318511,""composer"":UNKNOWN,""bytes"":7648679,""trackID"":1323,""name"":Sanctuary,""unitprice"":0.99}"
"{""albumID"":104,""title"":Live At Donington 1992 (Disc 2)}","{""milliseconds"":474017,""composer"":UNKNOWN,""bytes"":11380851,""trackID"":1324,""name"":Running Free,""unitprice"":0.99}"
"{""albumID"":108,""title"":Rock In Rio [CD1]}","{""milliseconds"":115931,""composer"":UNKNOWN,""bytes"":4638848,""trackID"":1352,""name"":Intro,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":263707,""composer"":UNKNOWN,""bytes"":4418504,""trackID"":1496,""name"":Surfing with the Alien,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":239721,""composer"":UNKNOWN,""bytes"":4036215,""trackID"":1497,""name"":Ice 9,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":314768,""composer"":UNKNOWN,""bytes"":5232158,""trackID"":1498,""name"":Crushing Day,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":202035,""bytes"":3435777,""composer"":UNKNOWN,""trackID"":1499,""name"":Always With Me, Always With You,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":193560,""composer"":UNKNOWN,""bytes"":3300654,""trackID"":1500,""name"":Satch Boogie,""unitprice"":0.99}"
"{""albumID"":121,""title"":Surfing with the Alien (Remastered)}","{""milliseconds"":209071,""composer"":UNKNOWN,""bytes"":3548553,""trackID"":1502,""name"":Circles,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":310073,""composer"":UNKNOWN,""bytes"":10211473,""trackID"":1506,""name"":Engenho De Dentro,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":355239,""composer"":UNKNOWN,""bytes"":12010478,""trackID"":1507,""name"":Alcohol,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":283062,""composer"":UNKNOWN,""bytes"":9488316,""trackID"":1508,""name"":Mama Africa,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":343484,""composer"":UNKNOWN,""bytes"":11314756,""trackID"":1509,""name"":Salve Simpatia,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":389276,""composer"":UNKNOWN,""bytes"":13022833,""trackID"":1513,""name"":Charles Anjo 45,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":338076,""composer"":UNKNOWN,""bytes"":10996656,""trackID"":1516,""name"":Que Maravilha,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":380081,""composer"":UNKNOWN,""bytes"":12524725,""trackID"":1517,""name"":Santa Clara Clareou,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":227526,""composer"":UNKNOWN,""bytes"":7498259,""trackID"":1518,""name"":Filho Maravilha,""unitprice"":0.99}"
"{""albumID"":122,""title"":Jorge Ben Jor 25 Anos}","{""milliseconds"":289750,""composer"":UNKNOWN,""bytes"":9502898,""trackID"":1519,""name"":Taj Mahal,""unitprice"":0.99}"
"{""albumID"":123,""title"":Jota Quest-1995}","{""milliseconds"":252238,""composer"":UNKNOWN,""bytes"":8470107,""trackID"":1520,""name"":Rapidamente,""unitprice"":0.99}"
"{""albumID"":123,""title"":Jota Quest-1995}","{""milliseconds"":300878,""composer"":UNKNOWN,""bytes"":10053718,""trackID"":1522,""name"":Vou Pra Ai,""unitprice"":0.99}"
"{""albumID"":123,""title"":Jota Quest-1995}","{""milliseconds"":253231,""composer"":UNKNOWN,""bytes"":8431821,""trackID"":1523,""name"":My Brother,""unitprice"":0.99}"
